======================================================================
TIPO            | LEXEMA               | LINEA    | COLUMNA 
----------------------------------------------------------------------
KEYWORD         | import               | L:1   | C:1  
IDENTIFIER      | java                 | L:1   | C:8  
OPERATOR        | .                    | L:1   | C:12 
IDENTIFIER      | util                 | L:1   | C:13 
OPERATOR        | .                    | L:1   | C:17 
IDENTIFIER      | regex                | L:1   | C:18 
OPERATOR        | .                    | L:1   | C:23 
OPERATOR        | *                    | L:1   | C:24 
SEPARATOR       | ;                    | L:1   | C:25 
KEYWORD         | import               | L:2   | C:1  
IDENTIFIER      | java                 | L:2   | C:8  
OPERATOR        | .                    | L:2   | C:12 
IDENTIFIER      | util                 | L:2   | C:13 
OPERATOR        | .                    | L:2   | C:17 
OPERATOR        | *                    | L:2   | C:18 
SEPARATOR       | ;                    | L:2   | C:19 
KEYWORD         | import               | L:3   | C:1  
IDENTIFIER      | java                 | L:3   | C:8  
OPERATOR        | .                    | L:3   | C:12 
IDENTIFIER      | util                 | L:3   | C:13 
OPERATOR        | .                    | L:3   | C:17 
IDENTIFIER      | stream               | L:3   | C:18 
OPERATOR        | .                    | L:3   | C:24 
IDENTIFIER      | Collectors           | L:3   | C:25 
SEPARATOR       | ;                    | L:3   | C:35 
KEYWORD         | import               | L:4   | C:1  
IDENTIFIER      | java                 | L:4   | C:8  
OPERATOR        | .                    | L:4   | C:12 
IDENTIFIER      | nio                  | L:4   | C:13 
OPERATOR        | .                    | L:4   | C:16 
IDENTIFIER      | file                 | L:4   | C:17 
OPERATOR        | .                    | L:4   | C:21 
OPERATOR        | *                    | L:4   | C:22 
SEPARATOR       | ;                    | L:4   | C:23 
KEYWORD         | import               | L:5   | C:1  
IDENTIFIER      | java                 | L:5   | C:8  
OPERATOR        | .                    | L:5   | C:12 
IDENTIFIER      | io                   | L:5   | C:13 
OPERATOR        | .                    | L:5   | C:15 
IDENTIFIER      | IOException          | L:5   | C:16 
SEPARATOR       | ;                    | L:5   | C:27 
KEYWORD         | public               | L:7   | C:1  
KEYWORD         | class                | L:7   | C:8  
IDENTIFIER      | Ejemplo              | L:7   | C:14 
SEPARATOR       | {                    | L:7   | C:22 
KEYWORD         | public               | L:9   | C:5  
KEYWORD         | enum                 | L:9   | C:12 
IDENTIFIER      | TokenType            | L:9   | C:17 
SEPARATOR       | {                    | L:9   | C:27 
IDENTIFIER      | KEYWORD              | L:10  | C:9  
SEPARATOR       | ,                    | L:10  | C:16 
IDENTIFIER      | IDENTIFIER           | L:10  | C:18 
SEPARATOR       | ,                    | L:10  | C:28 
IDENTIFIER      | OPERATOR             | L:10  | C:30 
SEPARATOR       | ,                    | L:10  | C:38 
IDENTIFIER      | SEPARATOR            | L:10  | C:40 
SEPARATOR       | ,                    | L:10  | C:49 
IDENTIFIER      | FLOATLIT             | L:11  | C:9  
SEPARATOR       | ,                    | L:11  | C:17 
IDENTIFIER      | HEXADECIMALLIT       | L:11  | C:19 
SEPARATOR       | ,                    | L:11  | C:33 
IDENTIFIER      | BINARYLIT            | L:11  | C:35 
SEPARATOR       | ,                    | L:11  | C:44 
IDENTIFIER      | OCTALLIT             | L:11  | C:46 
SEPARATOR       | ,                    | L:11  | C:54 
IDENTIFIER      | STRINGLIT            | L:11  | C:56 
SEPARATOR       | ,                    | L:11  | C:65 
IDENTIFIER      | CHARLIT              | L:11  | C:67 
SEPARATOR       | ,                    | L:11  | C:74 
IDENTIFIER      | INTEGERLIT           | L:12  | C:9  
SEPARATOR       | ,                    | L:12  | C:19 
IDENTIFIER      | JAVADOC              | L:12  | C:21 
SEPARATOR       | ,                    | L:12  | C:28 
IDENTIFIER      | BLOCKCOMMENT         | L:12  | C:30 
SEPARATOR       | ,                    | L:12  | C:42 
IDENTIFIER      | LINECOMMENT          | L:12  | C:44 
SEPARATOR       | ,                    | L:12  | C:55 
IDENTIFIER      | UNKNOWN              | L:12  | C:57 
LINECOMMENT     | // UNKNOWN se usa para errores | L:12  | C:65 
SEPARATOR       | }                    | L:13  | C:5  
KEYWORD         | public               | L:15  | C:5  
IDENTIFIER      | record               | L:15  | C:12 
IDENTIFIER      | Token                | L:15  | C:19 
SEPARATOR       | (                    | L:15  | C:24 
IDENTIFIER      | TokenType            | L:15  | C:25 
IDENTIFIER      | type                 | L:15  | C:35 
SEPARATOR       | ,                    | L:15  | C:39 
IDENTIFIER      | String               | L:15  | C:41 
IDENTIFIER      | lexeme               | L:15  | C:48 
SEPARATOR       | ,                    | L:15  | C:54 
KEYWORD         | int                  | L:15  | C:56 
IDENTIFIER      | line                 | L:15  | C:60 
SEPARATOR       | ,                    | L:15  | C:64 
KEYWORD         | int                  | L:15  | C:66 
IDENTIFIER      | column               | L:15  | C:70 
SEPARATOR       | )                    | L:15  | C:76 
SEPARATOR       | {                    | L:15  | C:78 
ANNOTATION      | @Override            | L:16  | C:9  
KEYWORD         | public               | L:17  | C:9  
