======================================================================
TIPO            | LEXEMA               | LINEA    | COLUMNA 
----------------------------------------------------------------------
ERROR           | #                    | L:1   | C:1  
IDENTIFICADOR   | include              | L:1   | C:2  
OPERADOR        | <                    | L:1   | C:10 
IDENTIFICADOR   | iostream             | L:1   | C:11 
OPERADOR        | >                    | L:1   | C:19 
ERROR           | #                    | L:2   | C:1  
IDENTIFICADOR   | include              | L:2   | C:2  
OPERADOR        | <                    | L:2   | C:10 
IDENTIFICADOR   | vector               | L:2   | C:11 
OPERADOR        | >                    | L:2   | C:17 
ERROR           | #                    | L:3   | C:1  
IDENTIFICADOR   | include              | L:3   | C:2  
OPERADOR        | <                    | L:3   | C:10 
IDENTIFICADOR   | set                  | L:3   | C:11 
OPERADOR        | >                    | L:3   | C:14 
RESERVADA       | using                | L:4   | C:1  
RESERVADA       | namespace            | L:4   | C:7  
IDENTIFICADOR   | std                  | L:4   | C:17 
SEPARADOR       | ;                    | L:4   | C:20 
RESERVADA       | int                  | L:6   | C:1  
IDENTIFICADOR   | main                 | L:6   | C:5  
SEPARADOR       | (                    | L:6   | C:9  
SEPARADOR       | )                    | L:6   | C:10 
SEPARADOR       | {                    | L:6   | C:11 
RESERVADA       | int                  | L:8   | C:1  
IDENTIFICADOR   | N                    | L:8   | C:5  
SEPARADOR       | ,                    | L:8   | C:6  
IDENTIFICADOR   | S                    | L:8   | C:7  
SEPARADOR       | ,                    | L:8   | C:8  
IDENTIFICADOR   | D                    | L:8   | C:9  
SEPARADOR       | ,                    | L:8   | C:10 
IDENTIFICADOR   | q0                   | L:8   | C:11 
SEPARADOR       | ,                    | L:8   | C:13 
IDENTIFICADOR   | T                    | L:8   | C:14 
SEPARADOR       | ,                    | L:8   | C:15 
IDENTIFICADOR   | C                    | L:8   | C:16 
SEPARADOR       | ;                    | L:8   | C:17 
IDENTIFICADOR   | cin                  | L:9   | C:1  
OPERADOR        | >>                   | L:9   | C:4  
IDENTIFICADOR   | N                    | L:9   | C:6  
OPERADOR        | >>                   | L:9   | C:7  
IDENTIFICADOR   | S                    | L:9   | C:9  
OPERADOR        | >>                   | L:9   | C:10 
IDENTIFICADOR   | D                    | L:9   | C:12 
OPERADOR        | >>                   | L:9   | C:13 
IDENTIFICADOR   | q0                   | L:9   | C:15 
OPERADOR        | >>                   | L:9   | C:17 
IDENTIFICADOR   | T                    | L:9   | C:19 
OPERADOR        | >>                   | L:9   | C:20 
IDENTIFICADOR   | C                    | L:9   | C:22 
SEPARADOR       | ;                    | L:9   | C:23 
IDENTIFICADOR   | vector               | L:11  | C:1  
OPERADOR        | <                    | L:11  | C:7  
RESERVADA       | char                 | L:11  | C:8  
OPERADOR        | >                    | L:11  | C:12 
IDENTIFICADOR   | alfabeto             | L:11  | C:14 
